id,filtered_words,features,label_index
R129,"['new', 'report', 'election', 'attorney', 'look', 'style.', 'finish', 'network', 'yes', 'bill', 'economic', 'across', 'visit', 'provide.', 'also', 'republican', 'accept', 'arm.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']","(10000,[132,533,585,698,2657,3500,3556,3614,3792,4506,4616,4687,4853,5044,6505,6578,7074,8135,8497,9144,9152,9462,9939],[2.7200985396183848,4.137164559405029,0.6714286566053024,4.42484663185681,3.5085558999826545,5.117993812416755,2.8844015909096608,0.6832166123573445,4.270695952029551,0.691153161953081,4.137164559405029,0.6871770135734415,4.019381523748645,3.914021008090819,0.6792718340663283,3.8187108282864943,3.7316994512968646,4.830311739964974,5.523458920524919,2.6902455764687034,4.830311739964974,0.691153161953081,4.42484663185681])",1.0
R227,"['new', 'report', 'climate', 'change', 'heart', 'eat', 'laugh', 'fill', 'character', 'laugh.', 'blue', 'evening', 'work', 'stuff', 'including.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']","(10000,[387,585,821,2059,3614,3673,4506,4687,4867,5286,5768,6505,7098,7276,7722,8888,9462,9527,9727,9808],[2.6902455764687034,0.6714286566053024,5.698620542196782,2.579019941358479,0.6832166123573445,5.523458920524919,0.691153161953081,0.6871770135734415,4.270695952029551,4.42484663185681,3.6516567436233283,0.6792718340663283,4.137164559405029,4.607168188650764,3.8187108282864943,5.523458920524919,0.691153161953081,4.137164559405029,3.8187108282864943,4.607168188650764])",1.0
F231,"['aliens', 'confirmed', 'sources', 'current', 'give', 'sing', 'sing', 'house', 'answer.', 'front', 'believe', 'hope.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']","(10000,[503,504,533,650,2086,3783,4988,5836,5850,6451,7281,7936,8338,9023,9189,9918],[0.691153161953081,4.270695952029551,4.137164559405029,5.917019126126766,4.607168188650764,4.137164559405029,0.6714286566053024,4.270695952029551,0.691153161953081,7.637421656572989,0.6753425559264385,0.691153161953081,0.691153161953081,0.691153161953081,3.914021008090819,5.117993812416755])",0.0
R066,"['new', 'report', 'policy', 'possible', 'food', 'others', 'customer.', 'stuff', 'institution', 'list', 'end', 'democratic.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']","(10000,[453,585,3243,3614,4142,4214,4506,4687,6100,6505,6714,6940,6944,7722,8653,8728,9462],[4.019381523748645,0.6714286566053024,4.137164559405029,0.6832166123573445,2.661258039595451,4.270695952029551,0.691153161953081,0.6871770135734415,4.607168188650764,0.6792718340663283,5.117993812416755,4.137164559405029,2.849310271098391,3.8187108282864943,4.137164559405029,3.577548771469606,0.691153161953081])",1.0
F095,"['mind', 'control', 'confirmed', 'sources', 'value', 'walk', 'management', 'rock', 'sure.', 'ground', 'whom.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']","(10000,[503,574,735,1173,1208,1241,3184,4988,5850,6142,6487,7281,7403,7936,8338,9023],[0.691153161953081,4.019381523748645,4.42484663185681,4.830311739964974,5.565237793199437,4.019381523748645,5.501740396570277,0.6714286566053024,0.691153161953081,4.42484663185681,3.7316994512968646,0.6753425559264385,4.019381523748645,0.691153161953081,0.691153161953081,0.691153161953081])",0.0
R174,"['new', 'report', 'policy', 'particular', 'anyone', 'standard', 'group', 'police.', 'skill', 'still', 'smile', 'behavior.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']","(10000,[585,666,2713,2967,3614,3712,4142,4391,4506,4687,6505,6944,6988,7766,8984,9462,9968],[0.6714286566053024,4.137164559405029,4.607168188650764,4.270695952029551,0.6832166123573445,4.019381523748645,2.661258039595451,4.42484663185681,0.691153161953081,0.6871770135734415,0.6792718340663283,2.849310271098391,4.607168188650764,4.270695952029551,4.270695952029551,0.691153161953081,4.42484663185681])",1.0
R201,"['new', 'report', 'public', 'health', 'kind', 'although', 'able', 'hope.', 'relationship', 'cold', 'last', 'newspaper', 'respond', 'soldier', 'know', 'west.', 'car', 'sometimes', 'baby', 'pull', 'policy', 'door', 'head', 'according.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']","(10000,[585,1064,1348,1770,2500,3238,3496,3614,3674,3920,3989,4141,4142,4260,4506,4687,4847,5869,5987,6044,6219,6505,6597,7779,8805,9462,9907,9918],[0.6714286566053024,4.137164559405029,4.019381523748645,5.7688031818193215,4.019381523748645,4.42484663185681,4.42484663185681,0.6832166123573445,3.914021008090819,3.6516567436233283,4.019381523748645,3.8187108282864943,2.661258039595451,3.914021008090819,0.691153161953081,0.6871770135734415,3.6516567436233283,3.914021008090819,4.830311739964974,4.42484663185681,3.172083663361442,0.6792718340663283,4.270695952029551,7.463398902593729,2.8154087194227095,0.691153161953081,4.607168188650764,5.117993812416755])",1.0
R072,"['new', 'report', 'education', 'color', 'business', 'address', 'someone', 'civil.', 'anything', 'ever', 'language', 'expert.', 'congress', 'leave', 'process', 'language', 'painting', 'structure.', 'contain', 'check', 'case', 'ready', 'crime', 'much', 'report.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']","(10000,[524,585,731,1034,1510,1716,2114,2913,3614,3671,3901,4454,4464,4506,4687,5047,5374,5392,5432,5530,5594,6342,6505,6557,7493,8040,8728,9462,9832],[3.914021008090819,0.6714286566053024,4.607168188650764,4.019381523748645,5.523458920524919,8.541391904059102,4.019381523748645,3.8187108282864943,0.6832166123573445,4.42484663185681,4.270695952029551,4.42484663185681,5.117993812416755,0.691153161953081,0.6871770135734415,2.661258039595451,4.42484663185681,5.117993812416755,2.661258039595451,2.579019941358479,4.137164559405029,3.8187108282864943,0.6792718340663283,4.607168188650764,4.830311739964974,3.5085558999826545,3.577548771469606,0.691153161953081,5.117993812416755])",1.0
R064,"['new', 'report', 'research', 'phone', 'phone', 'serious', 'financial', 'find.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']","(10000,[585,1117,1626,3614,4506,4687,6505,7066,7359,7407,9432,9462],[0.6714286566053024,4.42484663185681,8.84969326371362,0.6832166123573445,0.691153161953081,0.6871770135734415,0.6792718340663283,2.849310271098391,5.117993812416755,4.42484663185681,2.6902455764687034,0.691153161953081])",1.0
F037,"['miracle', 'drug', 'confirmed', 'sources', 'idea', 'suddenly', 'full', 'establish', 'son', 'clear', 'writer', 'above.', 'son', 'central', 'also', 'situation.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']","(10000,[209,477,503,1256,1611,2406,2923,3792,4988,5850,5958,6906,7281,7860,7936,8338,8581,8897,8928,9023],[8.03876304749729,5.117993812416755,0.691153161953081,6.251127295453098,4.270695952029551,5.117993812416755,3.6516567436233283,4.270695952029551,0.6714286566053024,0.691153161953081,4.137164559405029,4.42484663185681,0.6753425559264385,5.995460552433328,0.691153161953081,0.691153161953081,3.8187108282864943,4.019381523748645,3.6516567436233283,0.691153161953081])",0.0
